nome,descricao,orcamento,data_inicio,data_termino,qtd_dias
Sistema ERP,Implementação de novo sistema integrado,250000.0,10/01/2023,15/12/2023,339
Treinamento Corporativo,Programa de capacitação para funcionários,50000.0,01/03/2023,30/06/2023,121
Otimização de Custos,Análise e redução de despesas,80000.0,15/02/2023,30/09/2023,227
Campanha Verão,Lançamento de nova linha de produtos,120000.0,01/04/2023,31/08/2023,152
Expansão de Mercado,Abertura de novas filiais,300000.0,01/05/2023,01/05/2024,366
Automação Industrial,Modernização das linhas de produção,450000.0,15/06/2023,14/06/2024,365
Conformidade Legal,Adequação às novas leis trabalhistas,60000.0,20/01/2023,20/07/2023,181
Sistema de Rastreamento,Implementação de GPS em frota,90000.0,15/03/2023,31/10/2023,230
Novo Produto X,Pesquisa e desenvolvimento de novo item,200000.0,01/02/2023,01/02/2024,365
ISO 9001,Certificação de qualidade,75000.0,05/01/2023,30/11/2023,329
